"Descripción del contrato","Entidad ","Contratista","Nomenclatura del proceso","Número del contrato","Objeto ","Moneda ","Monto ","Presupuesto ","CCP ","Previsión Presupuestal ","Fecha de suscripción del contrato","Fecha de inicio del contrato","Fecha fin del contrato","Estado"
"ADQUISICIÓN DE CANALIZADOR VIAL, TIPO NEW JERSEY PRA EL MANTENIMIENTO DE PARADEROS DE TRANSPORTE REGULAR DE LIMA Y CALLAO","20604932964-AUTORIDAD DE TRANSPORTE URBANO PARA LIMA Y CALLAO","20492999157-SIGNO VIAL PERU S.A.C.","AS-SM-29-2021-ATU-1","CONTRATO N°002-2022-ATU-GG-OA","BIEN","S/","366272","824112","824112"," ","10/01/2022","11/01/2022","31/03/2022","Publicado"
"ADQUISICIÓN DE OCHENTA (80) CÁMARAS DE VIDEO VIGILANCIA IP PARA EL REEMPLAZO DE CÁMARAS INOPERATIVAS EN EL SISTEMA DE VIDEO VIGILANCIA IP CCTV DEL COSAC I - METROPOLITANO DE LA AUTORIDAD DE TRANSPORTE REGULAR ATU","20604932964-AUTORIDAD DE TRANSPORTE URBANO PARA LIMA Y CALLAO","20565740181-CU SECURITY E.I.R.L.","AS-SM-30-2021-ATU-1","CONTRATO N° 003-2022-ATU/GG-OA","BIEN","S/","248726.36","248726.36","248726.36"," ","12/01/2022","13/01/2022","31/01/2022","Publicado"
"SERVICIO PARA REALIZAR LA TOMA DE INVENTARIO FISICO DE BIENES MUEBLES PATRIMONIALES DE LA AUTORIDAD DE TRANSPORTE URBANO PARA LIMA Y CALLAO- ATU AL 31.12.2021","20604932964-AUTORIDAD DE TRANSPORTE URBANO PARA LIMA Y CALLAO","20544419839-INVENTARIOS VALUACIONES Y SERVICIOS GENERALES S.A.C. - IVASERG S.A.C.","AS-SM-36-2021-ATU-1","004-2022-ATU/GG-OA","SERVICIO","S/","79000","79000","79000","122500","19/01/2022","20/01/2022","30/05/2022","Publicado"
" ADQUISICION DE MOBILIARIO Y EQUIPO MEDICO PARA LA IMPLEMENTACION DE UN TOPICO EN LA ESTACION CENTRAL - COSAC","20604932964-AUTORIDAD DE TRANSPORTE URBANO PARA LIMA Y CALLAO","20447790999-EXPORT PERU GLOBAL SOCIEDAD ANONIMA CERRADA","AS-SM-33-2021-ATU-1","OC N° 21-2022","BIEN","S/","67500","67500","67500"," ","15/02/2022","16/02/2022","22/02/2022","Publicado"
"SERVICIO DE ARRENDAMIENTO DE LOCAL PARA INTERNAMIENTO DE VEHÍCULOS CON MEDIDA EN FORMA DE SECUESTRO CONSERVATIVO PRODUCTO DE LA COBRANZA DE MULTAS EN ESTADO COACTIVO BAJO COMPETENCIA DE LA AUTORIDAD DE TRANSPORTE URBANO PARA LIMA Y CALLAO - ATU","20604932964-AUTORIDAD DE TRANSPORTE URBANO PARA LIMA Y CALLAO","10090131317-INAFUKU TERUYA ENRIQUE","DIRECTA-PROC-18-2021-ATU-1","001-2022-ATU/GG-OA","SERVICIO","S/","540000","540000","495000","585000","07/01/2022","08/01/2022","07/01/2023","Publicado"
"Contratacion de bienes: Adquisicion de mezcla asfaltica en caliente para la ejecucion de la obra: ""Creacion del servicio de transitabilidad peatoonal y vehicular en la Av. La Capitana, Av. Los Claveles y Av. Las Ruinas de la Asociación de Pueblos Unidos por el Desaroollo de Nievería, Distrito de Lurigancho - Provincia de Lima - Departamento de Lima"" CUI N° 2480429","20131371455-MUNICIPALIDAD DISTRITAL DE LURIGANCHO (CHOSICA)","20602794084-CONSTRUCCIONES NEGOCIACIONES & TRANSPORTES. NANO S.A.C.","LP-SM-4-2021-MDL/CS-1","001-2022-SGLYSG-GAF-MDL","BIEN","S/","538875","538875","538875","370260","24/01/2022","25/01/2022","14/04/2022","Publicado"
"ADQUISICION DE ASFALTO LIQUIDO MC30","20131371455-MUNICIPALIDAD DISTRITAL DE LURIGANCHO (CHOSICA)","20602794084-CONSTRUCCIONES NEGOCIACIONES & TRANSPORTES. NANO S.A.C.","SIE-SIE-19-2021-OEC-MDL/BIENES-2","ORDEN DE COMPRA 2022-04","BIEN","S/","62370","62370","62370"," ","11/01/2022","12/01/2022","04/04/2022","Publicado"
"ADQ DE INSUMOS QUE CONFORMAN LA RACION ALIMENTICIA PARA EL PROGRAMA DEL VASO DE LECHE DE LA MUNICIPALIDAD DE LURIGANCHO CHOSICA PERIODO 2022-2023","20131371455-MUNICIPALIDAD DISTRITAL DE LURIGANCHO (CHOSICA)","20510051395-SOLUCIONES ALIMENTICIAS SAC - SOAL SAC","LP-SM-5-2021-MDL/CS-1","002-2022-SGLySG-GAF-MDL","BIEN","S/","5218422.85","5218422.85","2512719","2705703.85","27/01/2022","28/01/2022","20/12/2023","Publicado"
"ADQUISICION DE CEMENTO PORTLAND TIPO I","20131371455-MUNICIPALIDAD DISTRITAL DE LURIGANCHO (CHOSICA)","20392930567-SYTAH CONTRATISTAS GENERALES E.I.R.L.","SIE-SIE-22-2021-OEC-MDL-BIENES-1","OC N° 2022-00022","BIEN","S/","101483","101483","101483","76600","21/01/2022","22/01/2022","17/03/2022","Publicado"
"ADQUISICION DE MATERIAL GRANULAR PARA BASE TIPO A","20131371455-MUNICIPALIDAD DISTRITAL DE LURIGANCHO (CHOSICA)","10408178938-CUESTAS SUPÑO JORGE LUIS","SIE-SIE-23-2021-OEC-MDL-BIENES-1","OC N° 2022-0012","BIEN","S/","51000","51000","51000"," ","17/01/2022","25/01/2022","03/02/2022","Publicado"
"adquisicion de mezcla asfaltica en caliente","20131371455-MUNICIPALIDAD DISTRITAL DE LURIGANCHO (CHOSICA)","20601373581-GEOMASTER PERU S.A.C.","AS-SM-29-2021-OEC-MDL/BIENES-1","orden de compra nro. 20","BIEN","S/","184719","184719","184719"," ","02/02/2022","04/02/2022","10/02/2022","Publicado"
"servicio de consultoria para la supervision de la ejecucion de la obra: creacion del servicio de transitabilidad vehicular y peatonal en la av. 24 de setiembre y en los tramos de la av. carapongo (av. nro. 02 y calle n° 01) del distrito de lurigancho-provincia de lima.","20131371455-MUNICIPALIDAD DISTRITAL DE LURIGANCHO (CHOSICA)","10088392448-LEYVA CUEVA JOSE LUIS","AS-SM-23-2021-MDL/CS-1","003-2022-SGLYSG-GAF-MDL","CONSULTORIA","S/","147273.15","147273.15","147273.15"," ","07/02/2022","08/02/2022","06/09/2022","Publicado"
"ADQUISICION DE 20 MOTOCICLETAS LINEAL PARA LA SUB GERENCIA DE SERENAZGO DE LA MDL-CH","20131371455-MUNICIPALIDAD DISTRITAL DE LURIGANCHO (CHOSICA)","20522018962-MOTOS RACING TEAM S.A.C.","AS-SM-28-2021-OEC-MDL-BIENES-1","ORDEN DE COMPRA Nº 029-2022","BIEN","S/","147000","147000","147000"," ","24/01/2022","24/01/2022","31/03/2022","Publicado"
"ADQUISICION DE MATERIAL GRANULAR PARA BASE TIPO B","20131371455-MUNICIPALIDAD DISTRITAL DE LURIGANCHO (CHOSICA)","10408178938-CUESTAS SUPÑO JORGE LUIS","SIE-SIE-18-2021-OEC-MDL/BIENES-2","ORDEN DE COMPRA Nº 32-2022","BIEN","S/","120000","120000","120000"," ","24/01/2022","24/01/2022","31/03/2022","Publicado"
" ADQUISICION DE MEZCLA ASFALTICA PARA LA EJECUCION DE LA OBRA CREACION DEL SERVICIO DE TRANSITABILIDAD VEHICULAR Y PEATONAL EN LA COORPERATIVA DE VIVIENDA PABLO PATRON (CALLE LOS GERANIOS), ASOCIACION PRO VIVIENDA Y URBANIZADORA SOLIS GARCIA (PROLONGACION CAMINO REAL Y PASAJES 1º, 3º Y 4º) Y CALLE CAMINO REAL LIMITE CON LA URBANIZACION SAN FERNANDO ALTO ¿ DISTRITO DE LURIGANCHO ¿ PROVINCIA DE LIMA ¿ DEPARTAMENTO DE LIMA CON CODIGO UNICO DE INVERSIONES Nº 2519677","20131371455-MUNICIPALIDAD DISTRITAL DE LURIGANCHO (CHOSICA)","20608080067-ORCOM CORPORATION S.A.C.","AS-SM-1-2022-OEC-MDL-BIENES-1","ORDEN DE COMPRA Nº 126","BIEN","S/","143910.78","143910.78","143910.78"," ","14/02/2022","14/02/2022","28/02/2022","Publicado"
"CONTRATACION DEL SERVICIO DE NOTIFICACION DE CARPETAS DE LIQUIDACIÓN DE TRIBUTOS MUNICIPALES AÑO 2022","20131377224-MUNICIPALIDAD DISTRITAL DE MIRAFLORES - LIMA","20524674891-MITO COURIER S.A.C.","AS-SM-19-2021-CS/MM-1","01-2022","SERVICIO","S/","36088","36088","36088","41640","06/01/2022","19/01/2022","15/02/2022","Publicado"
"CREACIÓN DEL ESTABLECIMIENTO MUNICIPAL DE SALUD EN EL DISTRITO DE PUENTE PIEDRA - PROVINCIA DE LIMA - DEPARTAMENTO DE LIMA ¿ CÓDIGO ÚNICO DE INVERSIÓN N°2516751","20131366702-MUNICIPALIDAD DISTRITAL DE PUENTE PIEDRA","20528924221-CONSORCIO MAX SALUD","LP-SM-3-2021-CS-MDPP-1","003-2022-MDPP","OBRA","S/","26924896.45","26924896.45","26924896.45","0","18/01/2022","06/02/2022","01/02/2023","Publicado"
"CONTRATACIÓN DEL SERVICIO DE CONSULTORÍA PARA LA SUPERVISIÓN Y LIQUIDACIÓN DE EJECUCIÓN DE OBRA DEL PROYECTO CON CUI N° 2516751","20131366702-MUNICIPALIDAD DISTRITAL DE PUENTE PIEDRA","20542487179-CONSORCIO SUPERVISOR PUENTE PIEDRA","CP-SM-4-2021-CS-MDPP-1","008-2022-MDPP","CONSULTORIA","S/","1372424.67","1372425","0","1372425","01/02/2022","07/02/2022","10/02/2023","Publicado"
"ADQUISICION DE ALIMENTOS PARA EL PROGRAMA DE COMPLEMENTACION ALIMENTARIA (PCA) AÑO 2022","20131366702-MUNICIPALIDAD DISTRITAL DE PUENTE PIEDRA","20523108493-INVERSIONES KATHYMAR S.A.C.","SIE-SIE-4-2021-CS/MDPP-1","6","BIEN","S/","1608000","1608000","1608000"," ","27/01/2022","27/01/2022","31/10/2022","Publicado"
"MEJORAMIENTO DEL SERVICIO DE TRANSITABILIDAD VEHICULAR Y PEATONAL EN LA CA. LOS ALAMOS, CA. LOS SAUCES, CA. ROSEDAL - SECTOR ENSENADA - DISTRITO DE PUENTE PIEDRA - PROVINCIA DE LIMA - DEPARTAMENTO DE LIMA","20131366702-MUNICIPALIDAD DISTRITAL DE PUENTE PIEDRA","20300116192-VACHAVEZ CONTRATISTAS GENERALES SRLTDA","AS-SM-28-2021-CS-MDPP-1","002-2022-MDPP","OBRA","S/","1797188.89","1797188.89","1797188.89"," ","17/01/2022","31/01/2022","02/05/2022","Publicado"
"CONTRATACIÓN PARA LA EJECUCIÓN DE LA OBRA; CREACIÓN DEL SERVICIO DE TRANSITABILIDAD VEHICULAR Y PEATONAL EN LA CALLE SANTA ROSA DE LA ASOCIACIÓN DE VIVIENDA PASAJE SANTA ROSA ¿ SECTOR LA GRAMA ¿ DISTRITO DE PUENTE PIEDRA ¿ PROVINCIA DE LIMA ¿ DEPARTAMENTO DE LIMA, CON CUI Nº2532856","20131366702-MUNICIPALIDAD DISTRITAL DE PUENTE PIEDRA","20300116192-VACHAVEZ CONTRATISTAS GENERALES SRLTDA","AS-SM-27-2021-CS-MDPP-1","001-2022-MDPP","OBRA","S/","390000.1","390001","390001"," ","14/01/2022","30/01/2022","31/03/2022","Publicado"
"SERVICIO DE IMPRESIÓN PARA LA EMISION MASIVA DE CUPONERAS DE PAGO CORRESPONDIENTE AL AJERCICO FISCAL 2022","20131366702-MUNICIPALIDAD DISTRITAL DE PUENTE PIEDRA","20544033051-BRYAN IMPRESORES & SERVICIOS GENERALES E.I.R.L.","AS-SM-25-2021-CS/MDPP-1","004","SERVICIO","S/","183920","183920","183920"," ","20/01/2022","20/01/2022","15/02/2022","Publicado"
"CONTRATACIÓN DEL SERVICIO DE ALQUILER DE IMPRESORAS MULTIFUNCIONALES PARA LAS DIFERENTES UNIDADES ORGÁNICAS DE LA MDPP","20131366702-MUNICIPALIDAD DISTRITAL DE PUENTE PIEDRA","20600653173-NEGOCIOS Y SERVICIOS INTELIGENTES SOCIEDAD ANONIMA CERRADA-NEGOCIOS Y SERVICIOS INTELIGENTES S.A.C.","AS-SM-24-2021-CS-MDPP-1","005-2022-mdpp","SERVICIO","S/","360000","395760","355209.47","40550.53","26/01/2022","01/02/2022","31/01/2023","Publicado"
"ADQUISICIÓN DE EQUIPOS DE BOMBEO PARA LA OBRA; RENOVACIÓN DE ÁREA VERDE ; EN EL (LA) ESPACIOS PÚBLICOS DEL DISTRITO DE PUENTE PIEDRA ¿ DISTRITO DE PUENTE PIEDRA ¿ PROVINCIA DE LIMA ¿ DEPARTAMENTO DE LIMA, CON CUI NO.2520120","20131366702-MUNICIPALIDAD DISTRITAL DE PUENTE PIEDRA","20606987944-TECHNOLOGY CONSULTING PROJECTS S.A.C.","COMPRE-SM-64-2021-OEC-MDPP-1","13-2022","BIEN","S/","57667","57667","57667"," ","25/01/2022","26/01/2022","27/01/2022","Publicado"
"contratación para la consultoría de obra para la supervisión y liquidación de la obra; Mejoramiento del Servicio de transitabilidad vehicular y peatonal ca. Los Álamos, ca. Los Sauces, ca. Rosedal ¿ Sector La Ensenada ¿ Distrito de Puente Piedra ¿ Provincia de Lima ¿ Departamento de Lima, con CUI Nº2532486","20131366702-MUNICIPALIDAD DISTRITAL DE PUENTE PIEDRA","10402898271-ORDOÑEZ SACIETA MABEL PATRICIA","AS-SM-29-2021-CS-MDPP-2","007-2022-MDPP","CONSULTORIA","S/","99859.44","99859.44","99859.44"," ","01/02/2022","07/02/2022","12/05/2022","Publicado"
